Image_ID,True_Labels_Binary,Pred_Labels_Binary,True_Classes,Predicted_Classes,Exact_Match,Prob_Cannula,Prob_Cap Cystotome,Prob_Cap Forceps,Prob_Forceps,Prob_I-A Handpiece,Prob_Lens Injector,Prob_Phaco Handpiece,Prob_Primary Knife,Prob_Second Instrument,Prob_Secondary Knife
Video16_frame000470_png_jpg.rf.002f5dba40290872e5549a48b69db2bc.jpg,"[np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(1.0)]","[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",Secondary Knife,Idle (No Tool),0,0.0593,0.1661,0.0021,0.0579,0.0138,0.0047,0.0017,0.0379,0.0025,0.0906
case5063_33_png_jpg.rf.00a61c1507a6463191377fbd4640185b.jpg,"[np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(1.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0)]","[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",I-A Handpiece,I-A Handpiece,1,0.0114,0.0004,0.0041,0.0021,0.748,0.0107,0.4489,0.007,0.1883,0.0005
case5334_36_png_jpg.rf.0041ed850ed94b9c0a6ab81761ebe3b5.jpg,"[np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(1.0), np.float32(0.0), np.float32(1.0), np.float32(0.0)]","[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(0)]",Phaco Handpiece + Second Instrument,Phaco Handpiece + Second Instrument,1,0.0224,0.0059,0.0005,0.0012,0.0692,0.0007,0.9933,0.0004,0.9784,0.001
Video7_frame009450_png_jpg.rf.01b870ef9a74dd2f28151a1f4b3e40f4.jpg,"[np.float32(1.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0)]","[np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",Cannula,Cannula,1,0.7557,0.0032,0.0015,0.0117,0.0373,0.0064,0.0075,0.0161,0.0094,0.0023
Video7_frame009400_png_jpg.rf.01da8223178026c0aefef2f7cf8b3b4d.jpg,"[np.float32(1.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0)]","[np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",Cannula,Cannula,1,0.7566,0.003,0.0009,0.0029,0.1289,0.0071,0.0051,0.0161,0.0276,0.0009
Video7_frame003630_png_jpg.rf.01b1a3d54849457506275e9c37843893.jpg,"[np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(1.0), np.float32(0.0), np.float32(0.0), np.float32(0.0)]","[np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",Phaco Handpiece,Cannula,0,0.5273,0.0004,0.0008,0.0047,0.0075,0.006,0.3984,0.0084,0.1998,0.0012
case5072_29_png_jpg.rf.018eb87fbf1ccad8cf812d5125b75661.jpg,"[np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(1.0), np.float32(0.0), np.float32(1.0), np.float32(0.0)]","[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(0)]",Phaco Handpiece + Second Instrument,Phaco Handpiece + Second Instrument,1,0.0117,0.0022,0.013,0.0027,0.1088,0.0005,0.9886,0.0014,0.951,0.0161
case5014_25_png_jpg.rf.01ca0e97a139a23c1a97e6260050dc31.jpg,"[np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(1.0), np.float32(0.0), np.float32(1.0), np.float32(0.0)]","[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(0)]",Phaco Handpiece + Second Instrument,Phaco Handpiece + Second Instrument,1,0.0677,0.002,0.0004,0.0005,0.0847,0.0268,0.8774,0.0048,0.6662,0.0002
case5063_22_png_jpg.rf.0196fb479ab1d9f7b35aacb8c8682cff.jpg,"[np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(1.0), np.float32(0.0), np.float32(1.0), np.float32(0.0)]","[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(0)]",Phaco Handpiece + Second Instrument,Phaco Handpiece + Second Instrument,1,0.0049,0.0042,0.0015,0.0085,0.2227,0.0049,0.9193,0.0046,0.9503,0.0006
Video5_frame002710_png_jpg.rf.02c61e3dfa2f4bf61aeac1564b80b149.jpg,"[np.float32(1.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0)]","[np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",Cannula,Cannula,1,0.5139,0.0084,0.006,0.0243,0.0307,0.0004,0.0049,0.0109,0.0728,0.0007
