Class_Name,Precision,Recall,F1_Score,AUC_ROC,Threshold_Used
Cannula,0.6345,0.6667,0.6502,0.8787,0.5
Cap Cystotome,0.6667,0.4444,0.5333,0.9549,0.5
Cap Forceps,0.9375,0.5,0.6522,0.8575,0.5
Forceps,0.8696,0.5556,0.678,0.958,0.5
I-A Handpiece,0.8846,0.6479,0.748,0.9503,0.5
Lens Injector,0.881,0.5781,0.6981,0.9426,0.5
Phaco Handpiece,0.875,0.9282,0.9008,0.9872,0.5
Primary Knife,0.9444,0.4595,0.6182,0.9359,0.5
Second Instrument,0.9111,0.8402,0.8742,0.9598,0.5
Secondary Knife,0.7826,0.4615,0.5806,0.946,0.5
