Image_ID,True_Labels_Binary,Pred_Labels_Binary,True_Classes,Predicted_Classes,Exact_Match,Prob_Cannula,Prob_Cap Cystotome,Prob_Cap Forceps,Prob_Forceps,Prob_I-A Handpiece,Prob_Lens Injector,Prob_Phaco Handpiece,Prob_Primary Knife,Prob_Second Instrument,Prob_Secondary Knife
Video16_frame000470_png_jpg.rf.002f5dba40290872e5549a48b69db2bc.jpg,"[np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(1.0)]","[np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",Secondary Knife,Cannula,0,0.6332,0.0191,0.0013,0.0014,0.006,0.0048,0.006,0.0527,0.0191,0.0632
case5063_33_png_jpg.rf.00a61c1507a6463191377fbd4640185b.jpg,"[np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(1.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0)]","[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",I-A Handpiece,I-A Handpiece,1,0.0224,0.003,0.0041,0.0007,0.816,0.0067,0.0636,0.0006,0.1777,0.0006
case5334_36_png_jpg.rf.0041ed850ed94b9c0a6ab81761ebe3b5.jpg,"[np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(1.0), np.float32(0.0), np.float32(1.0), np.float32(0.0)]","[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(0)]",Phaco Handpiece + Second Instrument,Phaco Handpiece + Second Instrument,1,0.0204,0.0228,0.0037,0.0083,0.1137,0.0317,0.8343,0.0018,0.9046,0.0096
Video7_frame009450_png_jpg.rf.01b870ef9a74dd2f28151a1f4b3e40f4.jpg,"[np.float32(1.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0)]","[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",Cannula,Idle (No Tool),0,0.4518,0.017,0.0132,0.0197,0.428,0.0173,0.0512,0.0031,0.0388,0.0113
Video7_frame009400_png_jpg.rf.01da8223178026c0aefef2f7cf8b3b4d.jpg,"[np.float32(1.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0)]","[np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",Cannula,Cannula,1,0.9788,0.01,0.012,0.0132,0.3239,0.0249,0.0068,0.0022,0.0051,0.0042
Video7_frame003630_png_jpg.rf.01b1a3d54849457506275e9c37843893.jpg,"[np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(1.0), np.float32(0.0), np.float32(0.0), np.float32(0.0)]","[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0)]",Phaco Handpiece,Phaco Handpiece,1,0.4601,0.001,0.0027,0.0127,0.0076,0.0045,0.7154,0.0023,0.4792,0.0116
case5072_29_png_jpg.rf.018eb87fbf1ccad8cf812d5125b75661.jpg,"[np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(1.0), np.float32(0.0), np.float32(1.0), np.float32(0.0)]","[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(0)]",Phaco Handpiece + Second Instrument,Phaco Handpiece + Second Instrument,1,0.0124,0.0709,0.0191,0.0202,0.0617,0.01,0.8019,0.005,0.9331,0.0063
case5014_25_png_jpg.rf.01ca0e97a139a23c1a97e6260050dc31.jpg,"[np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(1.0), np.float32(0.0), np.float32(1.0), np.float32(0.0)]","[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(0)]",Phaco Handpiece + Second Instrument,Phaco Handpiece + Second Instrument,1,0.035,0.0115,0.0094,0.0008,0.0086,0.0021,0.9909,0.0008,0.9726,0.0033
case5063_22_png_jpg.rf.0196fb479ab1d9f7b35aacb8c8682cff.jpg,"[np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(1.0), np.float32(0.0), np.float32(1.0), np.float32(0.0)]","[np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(0)]",Phaco Handpiece + Second Instrument,Cannula + Phaco Handpiece + Second Instrument,0,0.5059,0.0081,0.0016,0.0005,0.0178,0.0004,0.5074,0.0013,0.703,0.0008
Video5_frame002710_png_jpg.rf.02c61e3dfa2f4bf61aeac1564b80b149.jpg,"[np.float32(1.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0)]","[np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",Cannula,Cannula,1,0.7206,0.0227,0.0466,0.0207,0.1183,0.0048,0.2584,0.0117,0.3193,0.0453
